ID,g_mag,g_mag_err,A_G,gaia_lum,gaia_lum_err,distance,distance_err,Teff,Teff_err,ref,feh_table,feh_count,ra,dec,mem_prob,cal_lum,cal_lum_err,value
4087736159069458304,12.090657,0.0002185360642138175,0.215,1.0435922,0.018141747,304.86149243313497,3.610222200684973,5994.0,68.0,2018A&A...619A.176B,"[[5994.0, None, '2018A&A...619A.176B']]",1.0,289.15303981456003,-17.21960036466,1.0,1.2707589946437965,0.03286122572426738,2.173104193701967
4087838959097352064,12.419425,0.0004874595801221984,0.281,0.767602,0.013863385,302.428044391582,3.7969882617269946,5767.0,62.0,2018A&A...619A.176B,"[[5767.0, None, '2018A&A...619A.176B']]",1.0,289.24754047237,-16.59097749323,1.0,0.9495974823090569,0.02428098258456903,2.13195995961646
4087853875535923200,11.3873415,0.0005263020248303992,0.3215,1.8028023000000002,0.047268867,292.886276060624,6.146054389712957,6273.0,80.0,2018A&A...619A.176B,"[[6273.0, None, '2018A&A...619A.176B']]",1.0,288.92787610477,-16.55153156199,1.0,2.4101640530125885,0.06664034793272287,2.0927062706021005
4087860506965490560,11.645209,0.00028715286650778186,0.3047,1.603618,0.03166306,310.19256178560903,4.375057866765019,6178.0,74.0,2018A&A...619A.176B,"[[6178.0, None, '2018A&A...619A.176B']]",1.0,288.93797658902,-16.38782669901,1.0,1.904375630226658,0.05117768602386828,2.128726424363819
4088004611707768320,12.275851,0.0002263033815807561,0.239,0.92524093,0.033483207,310.73004463562097,9.577054172168973,5825.0,61.0,2018A&A...619A.176B,"[[5825.0, None, '2018A&A...619A.176B']]",1.0,288.4305965378701,-16.81984817895,1.0,1.0800945982460917,0.027560859137851317,2.119497502885181
4088057521393630848,12.177399000000001,0.00022486863851534658,0.3647,1.0209087,0.037557363999999996,312.629173232408,9.816731339032003,5932.0,62.0,2018A&A...619A.176B,"[[5932.0, None, '2018A&A...619A.176B']]",1.0,288.61734463576,-16.334099260010007,1.0,1.1762369188474515,0.030169494706273062,2.1615166169720865
4183936795070404352,12.736021000000001,0.0002793940683352364,0.193,0.58432543,0.011414885500000001,298.580883410392,3.883219570719007,5602.0,50.0,2018A&A...619A.176B,"[[5602.0, None, '2018A&A...619A.176B']]",1.0,289.04665801967,-16.36358497908,1.0,0.7181729911127316,0.018622136243080192,2.127201976626885
4184135394358918656,12.35298,0.00017975477336167067,0.349,0.8459189,0.013409734,306.780524410139,3.159737814433015,5825.0,66.0,2018A&A...619A.176B,"[[5825.0, None, '2018A&A...619A.176B']]",1.0,289.1968944254,-16.06935678789,1.0,1.0060288378397535,0.025710405627515885,2.150348867020924
4184136558285344000,12.596752,0.000423530425926731,0.253,0.6739779,0.011772811000000001,305.07967790292304,3.552362405437009,5649.0,53.0,2018A&A...619A.176B,"[[5649.0, None, '2018A&A...619A.176B']]",1.0,289.26189346947,-16.08806274708,1.0,0.8132990954959317,0.020961492565766102,2.1094654580599794
4184146900561610880,12.7661915,0.00026721870251017704,0.2957,0.64826983,0.018045485,319.08656797444803,6.461919208710015,5612.0,49.0,2018A&A...619A.176B,"[[5612.0, None, '2018A&A...619A.176B']]",1.0,288.83923281552,-16.00308281284,1.0,0.6978950369669132,0.0180547347444092,2.1473865136819943
4184245586042699008,11.413677,0.00043754674933470803,0.423,1.9036316999999998,0.062194585999999996,304.646674424482,8.328552933537992,6279.0,80.0,2018A&A...619A.176B,"[[6279.0, None, '2018A&A...619A.176B']]",1.0,289.03660735192,-15.40789816205,1.0,2.3521615471520776,0.06515993254182602,2.1074376846813507
